2026-04-26 14:46:44,623 INFO    MainThread:37056 [wandb_setup.py:_flush():81] Current SDK version is 0.26.0
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_setup.py:_flush():81] Configure stats pid to 37056
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_init.py:setup_run_log_directory():721] Logging user logs to C:\Users\Mcs\Desktop\Python folder\DNN Semester Project\wandb\offline-run-20260426_144644-w35asbg3\logs\debug.log
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_init.py:setup_run_log_directory():722] Logging internal logs to C:\Users\Mcs\Desktop\Python folder\DNN Semester Project\wandb\offline-run-20260426_144644-w35asbg3\logs\debug-internal.log
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_init.py:init():848] calling init triggers
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_init.py:init():853] wandb.init called with sweep_config: {}
config: {'model': 'cnn', 'epochs': 1, 'batch_size': 128, 'lr': 0.001, '_wandb': {}}
2026-04-26 14:46:44,624 INFO    MainThread:37056 [wandb_init.py:init():896] starting backend
2026-04-26 14:46:46,904 INFO    MainThread:37056 [wandb_init.py:init():911] sending inform_init request
2026-04-26 14:46:46,913 INFO    MainThread:37056 [wandb_init.py:init():919] backend started and connected
2026-04-26 14:46:46,914 INFO    MainThread:37056 [wandb_init.py:init():989] updated telemetry
2026-04-26 14:46:46,915 INFO    MainThread:37056 [wandb_init.py:init():1013] communicating run to backend with 90.0 second timeout
2026-04-26 14:46:47,024 INFO    MainThread:37056 [wandb_init.py:init():1058] starting run threads in backend
2026-04-26 14:46:47,102 INFO    MainThread:37056 [wandb_run.py:_console_start():2542] atexit reg
2026-04-26 14:46:47,102 INFO    MainThread:37056 [wandb_run.py:_redirect():2391] redirect: wrap_raw
2026-04-26 14:46:47,102 INFO    MainThread:37056 [wandb_run.py:_redirect():2460] Wrapping output streams.
2026-04-26 14:46:47,102 INFO    MainThread:37056 [wandb_run.py:_redirect():2483] Redirects installed.
2026-04-26 14:46:47,104 INFO    MainThread:37056 [wandb_init.py:init():1098] run started, returning control to user process
