2026-04-28 19:08:19,026 INFO    MainThread:28148 [wandb_setup.py:_flush():81] Current SDK version is 0.26.0
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_setup.py:_flush():81] Configure stats pid to 28148
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_init.py:setup_run_log_directory():721] Logging user logs to C:\Users\Mcs\Desktop\Python folder\DNN Semester Project\wandb\offline-run-20260428_190819-yv8v86f3\logs\debug.log
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_init.py:setup_run_log_directory():722] Logging internal logs to C:\Users\Mcs\Desktop\Python folder\DNN Semester Project\wandb\offline-run-20260428_190819-yv8v86f3\logs\debug-internal.log
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_init.py:init():848] calling init triggers
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_init.py:init():853] wandb.init called with sweep_config: {}
config: {'model': 'hybrid', 'epochs': 30, 'batch_size': 128, 'lr': 0.001, '_wandb': {}}
2026-04-28 19:08:19,028 INFO    MainThread:28148 [wandb_init.py:init():896] starting backend
2026-04-28 19:08:21,284 INFO    MainThread:28148 [wandb_init.py:init():911] sending inform_init request
2026-04-28 19:08:21,292 INFO    MainThread:28148 [wandb_init.py:init():919] backend started and connected
2026-04-28 19:08:21,294 INFO    MainThread:28148 [wandb_init.py:init():989] updated telemetry
2026-04-28 19:08:21,295 INFO    MainThread:28148 [wandb_init.py:init():1013] communicating run to backend with 90.0 second timeout
2026-04-28 19:08:21,404 INFO    MainThread:28148 [wandb_init.py:init():1058] starting run threads in backend
2026-04-28 19:08:21,481 INFO    MainThread:28148 [wandb_run.py:_console_start():2542] atexit reg
2026-04-28 19:08:21,481 INFO    MainThread:28148 [wandb_run.py:_redirect():2391] redirect: wrap_raw
2026-04-28 19:08:21,481 INFO    MainThread:28148 [wandb_run.py:_redirect():2460] Wrapping output streams.
2026-04-28 19:08:21,481 INFO    MainThread:28148 [wandb_run.py:_redirect():2483] Redirects installed.
2026-04-28 19:08:21,483 INFO    MainThread:28148 [wandb_init.py:init():1098] run started, returning control to user process
2026-04-28 19:43:41,918 INFO    wandb-AsyncioManager-main:28148 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-28 19:43:41,918 INFO    wandb-AsyncioManager-main:28148 [mailbox.py:close():155] Closing mailbox, abandoning 0 handles.
